postid,pagename,platform,year,month,day,type,url,message,timestamp,sdg,sdgrelev,sdgcat,abstractmes
A18263,Estee Lauder,Facebook,2019,10,18,Photo,https://www.facebook.com/EsteeLauder/posts/10158825571732619,"Combining fragrance and confectionery worlds with AERIN's love of roses, NEW Rose Cocoa is the most enchanting Parfum of the season. Experience an artisanal blend of notes: Mandarin, Cinnamon, Rose Centifolia, Cocoa Bean Absolute, Champagne Truffle Accord, Amber, Vanilla and Musk. https://estee.cm/2Osij1P",2/5/2021 1:47,0,1,,
A18341,Estee Lauder,Facebook,2020,2,24,Photo,https://www.facebook.com/EsteeLauder/posts/10159269051562619,Protect. Repair. Repeat. #AdvancedNightRepair is the one-step renewal serum for youthful-looking skin that instantly adds radiance and intensely hydrates. Discover more: https://estee.cm/2RFQXGM:=:https://www.esteelauder.com/skin-care/advanced-night-repair?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=sp20_anr_skin_rhythm _2.24.20_&linkId=100000010376120,2/15/2021 11:39,0,1,,
A6728,Cartier,Facebook,2020,3,19,Link,https://www.facebook.com/cartier.usa/posts/1594207534089815,It's all in the details. The new Spring/Summer #CartierEyewear Collection. ms.spr.ly/6001Tjvtv:=:https://www.cartier.com/en-us/collections/accessories/eyewear.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=eyewear2020,2/10/2021 5:29,0,1,,
A8365,Chipotle Mexican Grill,Instagram,2020,3,19,Video,https://www.instagram.com/p/B97RtiFJNNy/,Still got her po-tay fix at home @lauren.justice,2/5/2021 2:23,0,1,,
A40146,Pepsi,Instagram,2019,11,5,IGTV,https://www.instagram.com/tv/B4fTw6Nn1Jd/,What could be more relaxing than an ice cold glass of Pepsi? This video. Maybe.,3/1/2021 9:14,0,1,,
A40144,Pepsi,Instagram,2019,10,30,Video,https://www.instagram.com/p/B4PqpxPnf9W/,"Found this board in our great-great auntâ€™s creepy attic, might ask it some questions. What should we ask?",3/1/2021 9:14,0,1,,
A40090,PayPal,Facebook,2020,10,2,Native Video,https://www.facebook.com/PayPalUSA/posts/10160239892434573,Use the cash a check feature on the PayPal app to access your money quickly. Find out how you can get the most out of PayPal here. https://bit.ly/3cUc7cQ:=:https://www.paypal.com/us/webapps/mpp/mobile-apps?utm_content=sf129800430&utm_medium=spredfast&UTM_source=Spredfast&sf129800430=1 Account required.,3/2/2021 1:09,0,1,,
A6671,CarMax,Instagram,2020,7,14,Video,https://www.instagram.com/p/CCotawdFIsH/,"The Ford F-150 is one of the most iconic trucks you can buy today. The 2018 model year delivers a utilitarian look and feel, with impressive handling capabilities â€“â€“ but how does it match-up to its competitors? Full video link in the bio. #fordf150 #fordtrucks #fordnation",2/5/2021 11:41,0,1,,
A6605,CarMax,Facebook,2019,10,31,Native Video,https://www.facebook.com/CarMax/posts/10156855929696194,"Youâ€™ll be haunted by the ghoulish thrills of these scary-cool cars. See the list, if you dare. https://www.carmax.com/articles/fun-to-drive-coupe-cars",2/5/2021 10:53,0,1,,
A18316,Estee Lauder,Facebook,2020,1,16,Photo,https://www.facebook.com/EsteeLauder/posts/10159131787267619,"Add some Hollywood glamour to your beauty vanity with the new Act IV Collection! This star-lit collection of dreamy, gleamy hues are super easy to apply and work with â€“ so youâ€™ll always be ready for your next photo opp. ðŸ“¸ Shop it now: https://estee.cm/2R7BvS2",2/15/2021 11:29,0,1,,
